Image ID,Original Label,Predicted Label,Probability,Similarity Score,Robustness Score,Consistency Score,Threshold Score,TCAV Score,Raw Projection,Final Score
2,1,1,0.9989866614341736,1.0000000023894193,0.9614578537341947,0.8,0.7748308511017967,0.5,0.0,0.8323704139944568
3,1,1,0.999991774559021,0.6584992347697256,0.8641808918432113,0.8,0.8167243576026522,0.5,0.0,0.6923264367326092
4,1,1,0.9720374345779419,0.5365263288508342,0.856142312556819,0.4,0.36903259456266824,0.5,0.0,0.5155796519804159
5,1,1,0.9999929666519165,0.4754029357686258,0.7772402838649553,0.6,0.6958833258831874,0.5,0.0,0.5622677015764239
6,1,1,0.9997878670692444,0.6159454782020937,0.8490461085707895,0.5,0.5558653791279842,0.5,0.0,0.5896626090071141
8,1,1,0.9999668598175049,0.5116215037453772,0.7276268798911976,0.5,0.5071527747422806,0.5,0.0,0.5284842056986128
10,1,1,0.9102727770805359,0.69104382348214,0.7865616859976877,0.625,0.7137372499564663,0.5,0.0,0.6558842854860947
1,0,0,0.0013359299628064036,0.6723371531798182,0.9045475367205913,1.0,0.9316618256252696,0.5,0.0,0.7491388887877768
7,0,0,0.0005444174166768789,0.5790177019007104,0.8209266413721299,0.9285714285714286,0.9651761946868191,0.5,0.0,0.6977618883862343
9,0,0,0.019697558134794235,0.6736274950171426,0.9474225741466427,0.9,0.8868172952861642,0.5,0.0,0.732215849714446
17,0,0,0.0004820782341994345,0.6012390236481939,0.8961199700091811,1.0,0.9987631720687205,0.5,0.0,0.7299220822705037
23,0,0,0.0008014403283596039,0.6355274430727765,0.8849557594378654,0.7,0.7252861832821509,0.5,0.0,0.6564994806652198
24,0,0,0.006701069884002209,0.6447760568309122,0.891321031402366,0.75,0.731972858579411,0.5,0.0,0.6693384546595131
27,1,1,0.9992007613182068,0.6206642812520142,0.9541461252936477,0.6875,0.7391767804680663,0.5,0.0,0.6576818421003804
